geoid10,population,hospital,library,school,supermarket
245100101001000,84,2987.0,525.4,647.7,998.6
245100101001001,70,2936.9,470.7,594.4,942.3
245100101001002,75,2869.7,468.3,527.2,881.3
245100101001003,88,2810.0,513.8,467.7,820.7
245100101001004,75,2746.0,528.7,403.7,757.5
245100101001005,87,2689.1,579.5,346.8,697.5
245100101001006,74,2685.9,640.9,339.7,631.0
245100101001008,77,2744.7,584.1,450.4,501.3
245100101001009,42,2819.0,509.4,472.8,499.6
245100101001010,20,2777.0,491.1,434.8,602.3
245100101001011,29,2846.7,426.8,504.5,653.8
245100101001012,41,2914.8,408.2,572.5,711.7
245100101001013,75,2980.0,357.9,637.5,766.5
245100101001014,66,3048.8,361.4,706.3,834.9
245100101001015,101,3103.1,413.8,760.6,888.7
245100101001016,26,2943.7,385.1,601.4,682.1
245100101001017,55,2912.9,359.2,570.6,586.6
245100101001018,50,2825.6,531.2,483.3,650.9
245100101002000,86,3258.5,298.4,916.0,774.4
245100101002001,34,3216.0,247.7,873.5,723.1
245100101002002,88,3139.7,245.0,797.2,655.1
245100101002003,74,3035.9,285.1,693.6,598.2
245100101002004,93,3011.9,304.4,669.7,531.7
245100101002005,87,2913.3,356.4,571.0,473.6
245100101002006,65,2877.3,416.3,567.1,408.9
245100101002007,47,2891.1,470.3,616.0,352.6
245100101002008,43,2882.8,367.2,667.6,344.4
245100101002009,18,2936.5,311.3,669.1,398.0
245100101002010,39,2988.9,265.0,663.4,450.4
245100101002011,51,3049.4,210.9,718.6,511.0
245100101002012,32,3161.7,180.1,832.7,601.3
245100101002013,29,3205.5,139.8,875.1,657.0
245100101002014,75,3291.4,134.5,961.0,716.6
245100101002015,71,3313.7,187.8,983.4,775.3
245100101002017,23,3144.1,95.2,846.2,552.7
245100101002018,12,3205.6,69.6,907.7,614.2
245100101003000,112,3346.8,169.5,1089.1,761.6
245100101003001,48,3265.1,87.8,1007.4,680.0
245100101003002,12,3218.5,105.1,961.0,633.4
245100101003003,8,3156.3,152.3,899.6,571.2
245100101003004,45,3130.1,204.6,884.1,552.8
245100101003005,1,3051.1,163.2,761.4,463.1
245100101003007,88,3206.6,372.3,992.6,661.3
245100101003008,41,3055.2,250.8,819.2,479.8
245100101003010,40,2927.6,354.5,807.5,342.4
245100101003011,14,2984.6,320.9,828.3,428.9
245100101003012,19,3010.9,437.7,910.2,483.5
245100101003013,21,2928.1,503.6,947.0,404.9
245100101003014,142,3260.9,636.0,1168.9,742.8
245100101003015,176,3287.9,316.6,1070.5,741.3
245100101003016,19,3276.9,203.3,1059.5,730.3
245100101003017,29,3239.3,135.4,991.0,662.0
245100101003018,44,3178.5,181.0,930.4,601.2
245100101003019,15,3218.1,247.4,1000.7,671.4
245100101003020,14,3299.6,131.9,1051.3,722.3
245100101003021,16,3389.1,309.8,1227.6,694.2
245100101003022,16,3398.9,262.4,1181.5,718.4
245100102001000,112,2315.7,686.2,382.1,564.9
245100102001001,98,2258.9,629.4,440.0,611.8
245100102001002,92,2224.8,563.7,503.4,676.4
245100102001003,98,2291.5,689.9,440.4,800.7
245100102001005,114,2413.0,811.4,257.0,690.3
245100102001006,159,2553.5,840.0,281.8,592.4
245100102001007,152,2495.3,898.4,336.5,650.9
245100102002000,85,2660.0,694.4,312.0,559.4
245100102002001,87,2602.3,751.8,367.2,614.7
245100102002002,103,2657.3,638.8,368.2,726.2
245100102002003,69,2714.3,581.3,423.4,669.8
245100102002004,58,2760.2,579.9,422.6,780.0
245100102002005,38,2704.5,637.0,366.6,837.1
245100102002006,65,2821.0,585.1,478.5,946.2
245100102002007,73,2874.7,597.2,537.0,890.0
245100102003000,78,2645.1,694.1,302.6,901.7
245100102003001,87,2585.7,737.4,243.2,961.6
245100102003002,101,2520.4,755.4,178.1,978.1
245100102003003,82,2462.3,806.2,120.1,920.2
245100102003005,95,2403.2,922.6,110.4,799.7
245100102003006,93,2516.8,809.4,223.1,686.1
245100102003007,74,2573.6,753.2,227.4,742.7
245100102003008,81,2575.2,693.3,233.0,807.3
245100102003009,79,2632.7,642.0,290.4,866.6
245100102003010,73,2698.5,626.0,356.0,930.0
245100102003011,99,2757.7,580.3,415.2,988.9
245100102004000,125,2165.8,504.8,489.2,733.3
245100102004001,77,2100.3,440.0,422.7,798.6
245100102004002,123,2047.3,387.9,369.6,854.1
245100102004003,90,2111.4,514.7,446.7,978.7
245100102004004,133,2165.3,567.4,500.5,925.4
245100102004005,116,2230.6,630.5,439.3,858.0
245100103001000,29,1757.4,532.9,127.6,947.0
245100103001002,5,1828.3,770.3,350.8,1040.1
245100103001013,104,2250.6,1106.9,300.2,680.5
245100103001014,91,2176.1,1185.8,338.8,659.5
245100103001015,23,2365.2,1081.7,467.5,613.5
245100103001016,67,2363.9,994.9,411.4,568.6
245100103001017,86,2410.3,929.6,345.1,565.7
245100103001018,77,2297.0,1043.1,232.3,679.2
245100103001019,89,2339.4,988.4,177.7,733.8
245100103001020,89,2452.6,875.0,291.1,621.6
245100103001021,113,2536.5,791.7,429.5,588.4
245100103001022,81,2475.8,883.1,522.6,456.7
245100103001023,84,2497.4,913.2,599.3,444.6
245100103002000,90,2175.7,1246.7,400.6,659.0
245100103002001,81,2117.7,1291.9,513.3,700.8
245100103002002,18,2095.5,1323.5,545.3,668.8
245100103002004,84,2001.8,1377.0,649.8,529.0
245100103002005,50,1960.7,1412.0,729.8,481.7
245100103002006,39,2018.0,1354.9,784.7,516.3
245100103002007,86,2045.6,1270.0,859.8,543.9
245100103002008,84,2102.3,1271.0,809.4,603.1
245100103002009,76,2118.0,1215.3,746.7,633.7
245100103002010,27,2035.1,1357.9,608.1,606.2
245100103002011,49,2095.2,1323.7,545.6,668.6
245100103002012,77,2260.7,1265.8,766.1,684.1
245100103002013,67,2292.9,1143.0,561.5,553.4
245100103002014,81,2277.6,1083.4,501.0,495.7
245100103002015,79,2400.5,1030.1,672.7,440.4
245100103002016,93,2337.5,1066.8,734.2,485.1
245100103002017,78,2277.1,1126.1,795.5,544.4
245100103002018,76,2213.5,1103.4,857.7,521.7
245100103002019,32,2150.9,1161.5,852.3,579.9
245100103002020,3,2217.5,1099.4,861.7,517.7
245100104001000,57,2686.1,710.3,565.8,401.1
245100104001001,76,2631.3,706.4,569.2,341.8
245100104001002,67,2588.9,772.6,636.6,344.4
245100104001003,75,2536.8,824.5,689.8,303.1
245100104001004,94,2479.9,893.7,756.5,301.8
245100104001005,73,2423.3,931.0,810.9,349.3
245100104001006,79,2355.9,986.8,877.9,405.2
245100104001007,77,2300.2,995.9,929.3,414.2
245100104001009,58,2594.1,694.6,890.0,128.5
245100104001010,22,2665.3,628.1,712.7,196.5
245100104001011,76,2700.5,591.8,676.2,234.5
245100104001012,69,2778.4,512.3,602.9,312.3
245100104001013,49,2804.6,446.5,741.4,266.1
245100104001015,2,2608.9,608.7,906.0,3.2
245100104001019,28,2863.9,419.7,860.9,278.7
245100104001020,8,2854.6,485.4,927.9,327.2
245100104002000,32,1846.0,1386.3,661.6,368.6
245100104002001,40,1782.7,1451.3,597.0,303.6
245100104002002,41,1751.8,1494.4,564.6,270.3
245100104002003,45,1700.9,1497.3,512.5,216.8
245100104002004,85,1853.8,1375.0,662.7,342.1
245100104002005,44,1890.5,1406.5,703.1,382.5
